מחלקה,סדר הדפסה,בי,מיקום,מקט,שם,משפחה
קפוא,153,61,161,1209,בלינצ'ס במילוי גבינת טבורוג מוקפא7 ק"ג,מוסדי
חלבי,201,1,201,755, GURMANגבינה אנלוגי מעושנת4)  LITA) ,גבינה SVALIA
חלבי,202,2,202,660, SVALYAגבינה אנלוגי5) LITA) ,גבינה SVALIA
חלבי,203,3,203,662, ROSSIYSKIYגבינה אנלוגי5)  LITA) ,גבינה SVALIA
חלבי,204,4,204,661, DVAROגבינה אנלוגי5)  LITA) ,גבינה SVALIA
חלבי,205,5,205,664,גבינה אנלוגי מעושנת1 SNACKS ק"ג4) LITA) ,גבינה SVALIA
חלבי,206,6,206,413001,גבינה קשה למחצה  GOUDA שומן28.5% PRESIDENT ,PRESIDENT גבינות
חלבי,207,7,207,413002,גבינה קשה למחצה  TILZITER שומן28.5% PRESIDENT ,PRESIDENT גבינות
חלבי,208,8,208,413000,גבינה קשה למחצה  HOLLAND שומן24.5% PRESIDENT ,PRESIDENT גבינות
חלבי,209,24,224,630,קפיר0.9 ל',SVALIA שמנת/יוגורט/ דייסה
חלבי,210,23,223,624,קפיר500 ג',SVALIA שמנת/יוגורט/ דייסה
חלבי,211,22,222,631,משקה חלבי0.5 ל',SVALIA שמנת/יוגורט/ דייסה
חלבי,212,21,221,1076,שמנת 30% SMETANA שומן200 ג',SVALIA שמנת/יוגורט/ דייסה
חלבי,213,20,220,1077,שמנת 15% SMETANA שומן350 ג',SVALIA שמנת/יוגורט/ דייסה
חלבי,214,19,219,659,גבינה מותכת 28%  שומן160 גרםSVALYA ,SVALIA למריחה גבינה/'קוטג/טבורוג
חלבי,215,16,216,1052,דייסת סולת עם תותי בר200 ג',SVALIA שמנת/יוגורט/ דייסה
חלבי,216,17,217,1050,דייסת שיבולת שועל200 ג',SVALIA שמנת/יוגורט/ דייסה
חלבי,217,18,218,1053,דייסת אורז עם משמש200 ג',SVALIA שמנת/יוגורט/ דייסה
חלבי,218,15,215,1060,יוגורט יווני200 ג',SVALIA שמנת/יוגורט/ דייסה
חלבי,219,14,214,1062,יוגורט יווני עם דובדבן150 ג',SVALIA שמנת/יוגורט/ דייסה
חלבי,220,25,225,677, GURMANגבינה אנלוגי מעושנת150 ג',SVALIA פרוסות גבינה
חלבי,221,26,226,669, ROSSIYSKIYגבינה אנלוגי150 ג',SVALIA פרוסות גבינה
חלבי,222,27,227,667, SVALYAגבינה אנלוגי150 ג',SVALIA פרוסות גבינה
חלבי,223,28,228,668, DVAROגבינה אנלוגי150 ג',SVALIA פרוסות גבינה
חלבי,224,29,229,650,פרוסות גבינה 24.7% MAASDAM שומן150 ג',SVALIA פרוסות גבינה
חלבי,225,30,230,649,פרוסות גבינה 27% EMMENTAL שומן150 ג',SVALIA פרוסות גבינה
חלבי,226,31,231,645,טבורוג 350 5% גרם,SVALIA למריחה גבינה/'קוטג/טבורוג
חלבי,227,32,232,646,טבורוג 800 5% גרם,SVALIA למריחה גבינה/'קוטג/טבורוג
חלבי,228,33,233,644,טבורוג 350 3% גרם,SVALIA למריחה גבינה/'קוטג/טבורוג
חלבי,229,34,234,643,טבורוג 350 0.5% גרם,SVALIA למריחה גבינה/'קוטג/טבורוג
חלבי,230,35,235,628,טבורוג250 5% ג',SVALIA למריחה גבינה/'קוטג/טבורוג
חלבי,231,37,237,665,גבינה פרמזן200 PARNIDZIO ג',SVALIA פרוסות גבינה
חלבי,232,38,238,673, GURMANגבינה אנלוגי מעושנת600 ג',SVALIA פרוסות גבינה
חלבי,233,39,239,670, SVALYAגבינה אנלוגי600 ג',SVALIA פרוסות גבינה
חלבי,234,40,240,672, ROSSIYSKIYגבינה אנלוגי600 ג',SVALIA פרוסות גבינה
חלבי,235,41,241,412202,גבינה מותכת GOUDA שומן70 14% גרם24) PRESIDENT) ,PRESIDENT גבינות
חלבי,236,42,242,412200,גבינה מותכת CREAMY שומן70 14.1% גרם24) PRESIDENT) ,PRESIDENT גבינות
חלבי,237,43,243,412201,גבינה מותכת HOLLAND שומן70 14% גרם24) PRESIDENT) ,PRESIDENT גבינות
חלבי,238,44,244,410000,שמנת חמוצה טבעית 15% שומן180 גרם8) PRESIDENT),PRESIDENT גבינות
חלבי,239,45,245,410001,שמנת חמוצה טבעית 20% שומן180 גרם8) PRESIDENT),PRESIDENT גבינות
חלבי,240,46,246,410002,שמנת חמוצה טבעית 15% שומן300 גרם8) PRESIDENT),PRESIDENT גבינות
חלבי,241,47,247,410003,שמנת חמוצה טבעית 20% שומן300 גרם8) PRESIDENT),PRESIDENT גבינות
חלבי,242,48,248,410004,שמנת חמוצה טבעית 30% שומן300 גרם8) PRESIDENT),PRESIDENT גבינות
חלבי,243,49,249,411000,טבורוג 5% שומן220 גרם12) PRESIDENT),PRESIDENT גבינות
חלבי,244,50,250,411001,טבורוג 5% שומן300 גרם9) PRESIDENT),PRESIDENT גבינות
חלבי,245,51,251,411500,גבינת שמנת קלאסית 24.5% שומן180 גרם6)PRESIDENT),PRESIDENT גבינות
חלבי,246,52,252,412501,גבינה מותכת  GOUDA שומן150 17% גרם12) PRESIDENT),PRESIDENT גבינות
חלבי,247,53,253,412502,גבינה מותכת  MAASDAM שומן150 17% גרם12) PRESIDENT),PRESIDENT גבינות
חלבי,248,54,254,412500,גבינה מותכת  CREAMY שומן150 18.3% גרם12) PRESIDENT),PRESIDENT גבינות
חלבי,249,55,255,413501,פרוסות גבינה קשה למחצה GOUDA שומן135 28.5% ג14)PRESIDENT),PRESIDENT גבינות
חלבי,250,56,256,413502,פרוסות גבינה קשה למחצה TLZITER שומן135 28.5% ג14)PRESIDENT),PRESIDENT גבינות
חלבי,251,57,257,413500,פרוסות גבינה קשה למחצה HOLLAND שומן135 24.5% ג14)PRESIDENT),PRESIDENT גבינות
חלבי,252,58,258,413202,גבינה קשה למחצה TILZITER שומן160 28.5%  גרם14) PRESIDENT) ,PRESIDENT גבינות
חלבי,253,59,259,413201,גבינה קשה למחצה GOUDA שומן160 28.5%  גרם14) PRESIDENT) ,PRESIDENT גבינות
חלבי,254,60,260,413200,גבינה קשה למחצה HOLLAND שומן160 24.5%  גרם14) PRESIDENT) ,PRESIDENT גבינות
דגים,301,9,309,403007,פילה מקרל מומלח בעישון חם מצונן150 גרם8) NP) ,NORD PORT מצונן פורל/סלמון
דגים,302,10,310,403008,פילה מקרל מומלח בעישון חם עם פלפל שחור גרוס150 גרם8) NP) ,NORD PORT מצונן פורל/סלמון
